,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
474,Sunburn,5,2014-06-23,5,0Z0GZkW8QCohqGChLmWixd,spotify:track:0Z0GZkW8QCohqGChLmWixd,0.842,0.533,0.17,5.03e-06,0.113,-11.342,0.0668,116.852,0.33,41,266053
475,Let It Out,5,2014-06-23,1,4Ur8TgNrZyUuRBWjsQfgGe,spotify:track:4Ur8TgNrZyUuRBWjsQfgGe,0.645,0.731,0.603,0.011,0.147,-7.656,0.0378,96.973,0.619,38,231546
476,Homeless,5,2014-06-23,2,5YS8NjfOuoFP1vi5wglycc,spotify:track:5YS8NjfOuoFP1vi5wglycc,0.519,0.754,0.636,0.0,0.108,-7.129,0.193,90.001,0.875,37,210746
477,Little Bird,5,2014-06-23,3,5DizlXTwJjjwxxqGNChcvO,spotify:track:5DizlXTwJjjwxxqGNChcvO,0.569,0.826,0.485,0.0,0.107,-7.424,0.0354,104.011,0.278,40,226066
478,Sofa,5,2014-06-23,4,2Z7RLfJdXXkXUmvMJxkNJo,spotify:track:2Z7RLfJdXXkXUmvMJxkNJo,0.14,0.646,0.65,9.65e-06,0.0999,-6.491,0.0278,100.05,0.52,37,199133
479,One Night,5,2014-06-23,5,1IbGB3FLPDJjBX5i3S57rA,spotify:track:1IbGB3FLPDJjBX5i3S57rA,0.379,0.781,0.836,0.0,0.289,-5.496,0.0658,94.989,0.636,37,206440
480,Firefly,5,2014-06-23,6,7udHOd6OUjUIhSjpTo4cl4,spotify:track:7udHOd6OUjUIhSjpTo4cl4,0.886,0.602,0.31,0.000142,0.105,-11.469,0.0373,159.917,0.36,42,254999
481,The City - Live at Sticky Studios; Loose Change EP,5,2014-06-23,7,7cCsAsOKvFdOjQHpADku4O,spotify:track:7cCsAsOKvFdOjQHpADku4O,0.507,0.712,0.569,0.0,0.412,-6.032,0.204,105.032,0.837,32,306320
482,Firefly - Bravado Dubstep Remix,5,2014-06-23,8,0dQ5jI1SGoAX2QT6N95tad,spotify:track:0dQ5jI1SGoAX2QT6N95tad,0.28,0.629,0.663,0.711,0.0811,-10.516,0.0283,139.982,0.49,31,269186
483,Fall,5,2014-06-23,1,5JTTFF4bKTIqrhRmmOgXXo,spotify:track:5JTTFF4bKTIqrhRmmOgXXo,0.632,0.559,0.283,0.00127,0.126,-9.827,0.0323,82.552,0.188,45,163272
484,Fire Alarms,5,2014-06-23,2,4I7VRMbaqi6GdSkaSxe1he,spotify:track:4I7VRMbaqi6GdSkaSxe1he,0.772,0.602,0.286,0.0,0.162,-9.886,0.0296,102.009,0.379,41,144013
485,Where We Land,5,2014-06-23,3,0xaPq2EZ9pQ9vLuxy6MCHH,spotify:track:0xaPq2EZ9pQ9vLuxy6MCHH,0.838,0.68,0.248,4.86e-06,0.0907,-11.592,0.031,119.944,0.275,44,183000
486,Cold Coffee,5,2014-06-23,4,4THoSHxiabL1rd59iVWu2T,spotify:track:4THoSHxiabL1rd59iVWu2T,0.453,0.544,0.529,0.0,0.131,-6.753,0.0256,92.936,0.403,52,254226
487,She,5,2014-06-23,5,3ICdPHubhqTJ4Lm9NEb2W3,spotify:track:3ICdPHubhqTJ4Lm9NEb2W3,0.811,0.573,0.344,0.0,0.13,-10.91,0.0361,157.783,0.377,46,244653
488,The A Team - Live at the Bedford,5,2014-06-23,1,3nwbntyppUfLEMorPB40HN,spotify:track:3nwbntyppUfLEMorPB40HN,0.728,0.402,0.339,0.0,0.833,-9.574,0.0498,83.194,0.496,33,322933
489,Homeless - Live at the Bedford,5,2014-06-23,2,0ewWskuCnqrTFvMUqtAQwF,spotify:track:0ewWskuCnqrTFvMUqtAQwF,0.62,0.601,0.879,0.0,0.464,-5.215,0.0945,99.377,0.713,30,225013
490,The City - Live at the Bedford,5,2014-06-23,3,4HQcJua3wHJLvBvc3gKJTr,spotify:track:4HQcJua3wHJLvBvc3gKJTr,0.545,0.602,0.8,0.0,0.656,-5.91,0.0734,109.921,0.81,30,307760
491,Fall - Live at the Bedford,5,2014-06-23,4,1lG7S133U7vKOXy0n8WeEL,spotify:track:1lG7S133U7vKOXy0n8WeEL,0.807,0.494,0.0964,7.13e-05,0.936,-16.691,0.0532,86.676,0.393,31,151173
492,Wake Me Up - Live at the Bedford,5,2014-06-23,5,2c3PILT3ocB6B47pNzi9qs,spotify:track:2c3PILT3ocB6B47pNzi9qs,0.792,0.616,0.141,0.0,0.897,-17.161,0.532,107.874,0.361,32,300680
493,"You Need Me, I Don't Need You - Live at the Bedford",5,2014-06-23,6,2GGOQWJo7FGEQojc7baekK,spotify:track:2GGOQWJo7FGEQojc7baekK,0.48,0.506,0.911,0.0,0.696,-4.779,0.23,105.475,0.781,33,590333
494,Lately (feat. Devlin),5,2014-06-23,1,5cth8vxCckeYgE10nX58re,spotify:track:5cth8vxCckeYgE10nX58re,0.0928,0.718,0.82,0.0,0.391,-5.552,0.103,90.013,0.329,31,271333
495,You (feat. Wiley),5,2014-06-23,2,6dSgNLxLDgTaPQlB15yOOK,spotify:track:6dSgNLxLDgTaPQlB15yOOK,0.386,0.799,0.532,0.00017,0.0978,-9.472,0.0707,100.032,0.189,31,201586
496,Family (feat. P Money),5,2014-06-23,3,77m6ySUV5ZpOdaIsygDYMZ,spotify:track:77m6ySUV5ZpOdaIsygDYMZ,0.515,0.476,0.704,0.0,0.094,-5.411,0.278,140.396,0.297,30,254906
497,Radio (feat. JME),5,2014-06-23,4,3MUKlVjVJBvPf4flrDq8KB,spotify:track:3MUKlVjVJBvPf4flrDq8KB,0.214,0.693,0.833,0.0,0.117,-5.408,0.263,99.901,0.759,30,222653
498,Little Lady (feat. Mikill Pane),5,2014-06-23,5,7bXTXa2zmMuRZPCBEWcjHw,spotify:track:7bXTXa2zmMuRZPCBEWcjHw,0.731,0.437,0.5,0.0,0.157,-7.103,0.105,85.293,0.437,32,328653
499,Drown Me Out (feat. Ghetts) - + Ghetts,5,2014-06-23,6,0dNt7lZks5TVxiGaCIY1yZ,spotify:track:0dNt7lZks5TVxiGaCIY1yZ,0.0282,0.511,0.91,0.0,0.127,-6.186,0.116,140.147,0.426,29,261440
500,"Nightmares (feat. Random Impulse, Sway & Wretch 32)",5,2014-06-23,7,4SVST4FR6Gj74UJCzCiOSX,spotify:track:4SVST4FR6Gj74UJCzCiOSX,0.101,0.855,0.678,0.00232,0.0964,-6.864,0.052,120.012,0.429,30,243000
501,Goodbye to You (feat. Dot Rotten),5,2014-06-23,8,1O5u4AShfndSLCnVqlV0h2,spotify:track:1O5u4AShfndSLCnVqlV0h2,0.267,0.64,0.664,0.0,0.329,-7.812,0.152,140.007,0.275,30,330200
502,One,x (Deluxe Edition),2014-06-21,1,5TvFfDlVoUWZvfqrhTJzD7,spotify:track:5TvFfDlVoUWZvfqrhTJzD7,0.877,0.464,0.321,0.0,0.0789,-11.12,0.0418,93.528,0.306,62,252760
503,I'm a Mess,x (Deluxe Edition),2014-06-21,2,0xCA70t1ZA4fa9UOE0lIJm,spotify:track:0xCA70t1ZA4fa9UOE0lIJm,0.556,0.697,0.377,0.0,0.0999,-7.755,0.0397,138.754,0.336,64,244573
504,Sing,x (Deluxe Edition),2014-06-21,3,6K8qKeWo5MsFED7wCR6Kop,spotify:track:6K8qKeWo5MsFED7wCR6Kop,0.304,0.818,0.67,1.22e-06,0.0601,-4.451,0.0472,119.988,0.939,70,235382
505,Don't,x (Deluxe Edition),2014-06-21,4,1huvTbEYtgltjQRXzrNKGi,spotify:track:1huvTbEYtgltjQRXzrNKGi,0.0113,0.806,0.608,0.0,0.635,-7.008,0.0659,95.049,0.849,72,219840
506,Nina,x (Deluxe Edition),2014-06-21,5,3GKSfF6c3Rv3a1knSjxnXa,spotify:track:3GKSfF6c3Rv3a1knSjxnXa,0.175,0.791,0.669,0.0,0.33,-7.189,0.146,92.013,0.809,56,225533
507,Photograph,x (Deluxe Edition),2014-06-21,6,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,0.201,85,258986
508,Bloodstream,x (Deluxe Edition),2014-06-21,7,5v4sZRuvWDcisoOk1PFv6T,spotify:track:5v4sZRuvWDcisoOk1PFv6T,0.529,0.66,0.316,0.000294,0.104,-11.567,0.0364,91.207,0.543,65,300253
509,Tenerife Sea,x (Deluxe Edition),2014-06-21,8,1HbcclMpw0q2WDWpdGCKdS,spotify:track:1HbcclMpw0q2WDWpdGCKdS,0.697,0.53,0.346,1.07e-05,0.105,-10.497,0.0376,121.876,0.359,67,241346
510,Runaway,x (Deluxe Edition),2014-06-21,9,2VmA7bm5ECiYZfw7x4Nzku,spotify:track:2VmA7bm5ECiYZfw7x4Nzku,0.024,0.767,0.449,0.000299,0.151,-7.158,0.0364,95.03,0.908,57,205133
511,The Man,x (Deluxe Edition),2014-06-21,10,1gHF0I223J5pv06SuBcmkz,spotify:track:1gHF0I223J5pv06SuBcmkz,0.576,0.759,0.725,0.0,0.0771,-7.006,0.158,87.467,0.619,53,250426
512,Thinking out Loud,x (Deluxe Edition),2014-06-21,11,34gCuhDGsG4bRPIf9bb02f,spotify:track:34gCuhDGsG4bRPIf9bb02f,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,0.591,83,281560
513,Afire Love,x (Deluxe Edition),2014-06-21,12,12B0Twa9kRz45Xw2PgXHJm,spotify:track:12B0Twa9kRz45Xw2PgXHJm,0.464,0.552,0.637,1.63e-05,0.136,-6.568,0.0445,97.97,0.333,58,314280
514,Take It Back,x (Deluxe Edition),2014-06-21,13,2dmOWlEHrP266Qgz6wnUrd,spotify:track:2dmOWlEHrP266Qgz6wnUrd,0.318,0.754,0.613,0.0,0.335,-6.342,0.229,113.196,0.904,53,208400
515,Shirtsleeves,x (Deluxe Edition),2014-06-21,14,7awwmuGslmuyhnlpFipDqk,spotify:track:7awwmuGslmuyhnlpFipDqk,0.319,0.752,0.76,0.0,0.335,-5.34,0.0341,107.034,0.752,52,190226
516,Even My Dad Does Sometimes,x (Deluxe Edition),2014-06-21,15,0N5zjRnf8AreOm95iSBXF4,spotify:track:0N5zjRnf8AreOm95iSBXF4,0.756,0.58,0.318,0.000171,0.117,-8.926,0.0279,129.757,0.295,53,228533
517,I See Fire,x (Deluxe Edition),2014-06-21,16,5pY3ovFxbvAg7reGZjJQSp,spotify:track:5pY3ovFxbvAg7reGZjJQSp,0.638,0.641,0.176,5.14e-06,0.252,-11.692,0.0349,76.031,0.297,0,299146
518,One,x (Wembley Edition),2013,1,6l7Zg2JkFvg9Mpj0WDQxwl,spotify:track:6l7Zg2JkFvg9Mpj0WDQxwl,0.877,0.464,0.321,0.0,0.0789,-11.12,0.0418,93.528,0.306,24,252760
519,I'm a Mess,x (Wembley Edition),2013,2,4fqeZvhMV3AsB4rQLOrsEW,spotify:track:4fqeZvhMV3AsB4rQLOrsEW,0.556,0.697,0.377,0.0,0.0999,-7.755,0.0397,138.754,0.336,21,244573
520,Sing,x (Wembley Edition),2013,3,4hI1dTlDeXUL9dIYH0ikWR,spotify:track:4hI1dTlDeXUL9dIYH0ikWR,0.304,0.818,0.67,1.22e-06,0.0601,-4.451,0.0472,119.988,0.939,32,235382
521,Don't,x (Wembley Edition),2013,4,1cNt4WJWmBiLnYTah7aegh,spotify:track:1cNt4WJWmBiLnYTah7aegh,0.0113,0.806,0.608,0.0,0.635,-7.008,0.0659,95.049,0.849,29,219840
522,Nina,x (Wembley Edition),2013,5,0akoVJDdLJYVhVFoPmuTxP,spotify:track:0akoVJDdLJYVhVFoPmuTxP,0.175,0.791,0.669,0.0,0.33,-7.189,0.146,92.013,0.809,16,225533
523,Photograph,x (Wembley Edition),2013,6,1dyRiQZRGHZvesHh2hbp8g,spotify:track:1dyRiQZRGHZvesHh2hbp8g,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,0.201,49,258986
524,Bloodstream,x (Wembley Edition),2013,7,4sefh9p6NNR7zTiRSmN8nH,spotify:track:4sefh9p6NNR7zTiRSmN8nH,0.529,0.66,0.316,0.000294,0.104,-11.567,0.0364,91.207,0.543,24,300253
525,Tenerife Sea,x (Wembley Edition),2013,8,1t8Ywsv2dBMVeYLdfHmLgo,spotify:track:1t8Ywsv2dBMVeYLdfHmLgo,0.697,0.53,0.346,1.07e-05,0.105,-10.497,0.0376,121.876,0.359,36,241346
526,Runaway,x (Wembley Edition),2013,9,7dcWyJWu0XW4cg36SQIKVc,spotify:track:7dcWyJWu0XW4cg36SQIKVc,0.024,0.767,0.449,0.000299,0.151,-7.158,0.0364,95.03,0.908,17,205133
527,The Man,x (Wembley Edition),2013,10,4kUAlwlLJaWIIHtZduHMbw,spotify:track:4kUAlwlLJaWIIHtZduHMbw,0.576,0.759,0.725,0.0,0.0771,-7.006,0.158,87.467,0.619,14,250426
528,Thinking out Loud,x (Wembley Edition),2013,11,3cw4Y2ziYYiJV49bWN5H1D,spotify:track:3cw4Y2ziYYiJV49bWN5H1D,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,0.591,47,281560
529,Afire Love,x (Wembley Edition),2013,12,1qH5GarhIy9iiFElL2y4Hj,spotify:track:1qH5GarhIy9iiFElL2y4Hj,0.464,0.552,0.637,1.63e-05,0.136,-6.568,0.0445,97.97,0.333,18,314280
530,Take It Back,x (Wembley Edition),2013,13,586AZMPJBHLjKEzigjxILu,spotify:track:586AZMPJBHLjKEzigjxILu,0.318,0.754,0.613,0.0,0.335,-6.342,0.229,113.196,0.904,14,208400
531,Shirtsleeves,x (Wembley Edition),2013,14,04FdImDV8aKUKuDDMXcpKU,spotify:track:04FdImDV8aKUKuDDMXcpKU,0.319,0.752,0.76,0.0,0.335,-5.34,0.0341,107.034,0.752,12,190226
532,Even My Dad Does Sometimes,x (Wembley Edition),2013,15,1VlFgG9WZTfPQMEA8vOzGf,spotify:track:1VlFgG9WZTfPQMEA8vOzGf,0.756,0.58,0.318,0.000171,0.117,-8.926,0.0279,129.757,0.295,13,228533
533,I See Fire,x (Wembley Edition),2013,16,1ldHWOO03QagIbOiic92Pd,spotify:track:1ldHWOO03QagIbOiic92Pd,0.638,0.641,0.176,5.14e-06,0.252,-11.692,0.0349,76.031,0.297,0,299146
534,Reuf (feat. Ed Sheeran),x (Wembley Edition),2013,17,3iyJ2Yl3bQNQhHht2lWLnL,spotify:track:3iyJ2Yl3bQNQhHht2lWLnL,0.0854,0.767,0.694,0.0,0.118,-7.12,0.0651,120.046,0.339,22,327280
535,English Rose,x (Wembley Edition),2013,18,2pdtWTQJda6jQy66NiFWio,spotify:track:2pdtWTQJda6jQy66NiFWio,0.0977,0.579,0.649,0.0,0.125,-6.522,0.0352,114.593,0.184,17,184173
536,Touch and Go,x (Wembley Edition),2013,19,68IRx0XOiSgVNtBcAlkB3K,spotify:track:68IRx0XOiSgVNtBcAlkB3K,0.294,0.812,0.542,6.92e-05,0.141,-5.403,0.0444,110.268,0.733,29,240986
537,New York,x (Wembley Edition),2013,20,1wDEQwINUZNhUjSkU5kMRr,spotify:track:1wDEQwINUZNhUjSkU5kMRr,0.707,0.728,0.461,0.0,0.113,-8.726,0.0395,86.014,0.474,18,235960
538,Make It Rain,x (Wembley Edition),2013,21,3CmoSi5r03mp6RdBCpggHP,spotify:track:3CmoSi5r03mp6RdBCpggHP,0.791,0.618,0.239,0.0,0.1,-8.371,0.0274,96.846,0.327,34,404480
539,Parting Glass - Live at Wembley Stadium,x (Wembley Edition),2013,22,1VmHonJjTQo0OJHVLQjBMY,spotify:track:1VmHonJjTQo0OJHVLQjBMY,0.598,0.389,0.369,0.0,0.96,-6.886,0.0404,102.625,0.541,15,195967
540,Small Bump - Live at Wembley Stadium,x (Wembley Edition),2013,23,0m6DbEO7vkZlQsGAuEaLYU,spotify:track:0m6DbEO7vkZlQsGAuEaLYU,0.219,0.69,0.696,0.0,0.958,-7.432,0.183,125.735,0.237,11,302992
541,Lay It All on Me (feat. Ed Sheeran),x (Wembley Edition),2013,24,0WIsN0rpnUXEypLqlrV2mX,spotify:track:0WIsN0rpnUXEypLqlrV2mX,0.141,0.669,0.747,0.0,0.185,-7.108,0.0428,122.531,0.483,15,242440
542,One,x (Wembley Edition),2013,1,2TwyftP8yhuuHyrGVZz4Ir,spotify:track:2TwyftP8yhuuHyrGVZz4Ir,0.877,0.464,0.321,0.0,0.0789,-11.12,0.0418,93.528,0.306,30,252760
543,I'm a Mess,x (Wembley Edition),2013,2,1rAWwaYjVDcNG4hIaWIPhY,spotify:track:1rAWwaYjVDcNG4hIaWIPhY,0.556,0.697,0.377,0.0,0.0999,-7.755,0.0397,138.754,0.336,30,244573
544,Sing,x (Wembley Edition),2013,3,52G4w1FDeljBW79lMXcLtI,spotify:track:52G4w1FDeljBW79lMXcLtI,0.304,0.818,0.67,1.22e-06,0.0601,-4.451,0.0472,119.988,0.939,33,235382
545,Don't,x (Wembley Edition),2013,4,6IiZX8IDn3ax5CTMOC4tH9,spotify:track:6IiZX8IDn3ax5CTMOC4tH9,0.0113,0.806,0.608,0.0,0.635,-7.008,0.0659,95.049,0.849,38,219840
546,Nina,x (Wembley Edition),2013,5,38BwY54pozaTmM3UhRLWQm,spotify:track:38BwY54pozaTmM3UhRLWQm,0.175,0.791,0.669,0.0,0.33,-7.189,0.146,92.013,0.809,23,225533
547,Photograph,x (Wembley Edition),2013,6,3FSPaBp49Clqq2p4zc9dbA,spotify:track:3FSPaBp49Clqq2p4zc9dbA,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,0.201,55,258986
548,Bloodstream,x (Wembley Edition),2013,7,7gtjNb0PkQwaUxL4z5sT9L,spotify:track:7gtjNb0PkQwaUxL4z5sT9L,0.529,0.66,0.316,0.000294,0.104,-11.567,0.0364,91.207,0.543,31,300253
549,Tenerife Sea,x (Wembley Edition),2013,8,1RbNZI6pKMLvYzby6HTw9j,spotify:track:1RbNZI6pKMLvYzby6HTw9j,0.697,0.53,0.346,1.07e-05,0.105,-10.497,0.0376,121.876,0.359,42,241346
550,Runaway,x (Wembley Edition),2013,9,56pwC8gGzNF4sPNmEnIHCc,spotify:track:56pwC8gGzNF4sPNmEnIHCc,0.024,0.767,0.449,0.000299,0.151,-7.158,0.0364,95.03,0.908,23,205133
551,The Man,x (Wembley Edition),2013,10,6IOAFymj4qjnMUpOSmBHTd,spotify:track:6IOAFymj4qjnMUpOSmBHTd,0.576,0.759,0.725,0.0,0.0771,-7.006,0.158,87.467,0.619,20,250426
552,Thinking out Loud,x (Wembley Edition),2013,11,0k4nrrCsMr0Tao5WvQ8Osq,spotify:track:0k4nrrCsMr0Tao5WvQ8Osq,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,0.591,50,281560
553,Afire Love,x (Wembley Edition),2013,12,3A94XWlOQYgKidjJbKb8rH,spotify:track:3A94XWlOQYgKidjJbKb8rH,0.464,0.552,0.637,1.63e-05,0.136,-6.568,0.0445,97.97,0.333,26,314280
554,Take It Back,x (Wembley Edition),2013,13,33JmhVwIvrbOuGf9UuTSRN,spotify:track:33JmhVwIvrbOuGf9UuTSRN,0.318,0.754,0.613,0.0,0.335,-6.342,0.229,113.196,0.904,20,208400
555,Shirtsleeves,x (Wembley Edition),2013,14,6IUJwjfvkxsuTncDeEt2Ih,spotify:track:6IUJwjfvkxsuTncDeEt2Ih,0.319,0.752,0.76,0.0,0.335,-5.34,0.0341,107.034,0.752,19,190226
556,Even My Dad Does Sometimes,x (Wembley Edition),2013,15,5ySy4cN3ISIfiDvIKuN0bu,spotify:track:5ySy4cN3ISIfiDvIKuN0bu,0.756,0.58,0.318,0.000171,0.117,-8.926,0.0279,129.757,0.295,21,228533
557,I See Fire,x (Wembley Edition),2013,16,46EPspYaDHR8KGmKJM8Sih,spotify:track:46EPspYaDHR8KGmKJM8Sih,0.638,0.641,0.176,5.14e-06,0.252,-11.692,0.0349,76.031,0.297,0,299146
558,Photograph - Felix Jaehn Remix,x (Wembley Edition),2013,17,4OfhH0rJ8Dg0cLwtC0cRk2,spotify:track:4OfhH0rJ8Dg0cLwtC0cRk2,0.0997,0.726,0.697,0.00733,0.0823,-6.257,0.0404,120.004,0.54,37,202586
559,English Rose,x (Wembley Edition),2013,18,7rxLRLFFjdiBWBKWDd6NMz,spotify:track:7rxLRLFFjdiBWBKWDd6NMz,0.0977,0.579,0.649,0.0,0.125,-6.522,0.0352,114.593,0.184,25,184173
560,Touch and Go,x (Wembley Edition),2013,19,6hk0ff9xpK4WLcoRICVtw7,spotify:track:6hk0ff9xpK4WLcoRICVtw7,0.294,0.812,0.542,6.92e-05,0.141,-5.403,0.0444,110.268,0.733,35,240986
561,New York,x (Wembley Edition),2013,20,6afE68EYdFtctKwjMVC6yP,spotify:track:6afE68EYdFtctKwjMVC6yP,0.707,0.728,0.461,0.0,0.113,-8.726,0.0395,86.014,0.474,26,235960
562,Make It Rain,x (Wembley Edition),2013,21,7K8jxqCG29KUi21SqsvDfE,spotify:track:7K8jxqCG29KUi21SqsvDfE,0.791,0.618,0.239,0.0,0.1,-8.371,0.0274,96.846,0.327,37,404480
563,Parting Glass - Live at Wembley Stadium,x (Wembley Edition),2013,22,5Efm0TRugj7QE2Artu2BZg,spotify:track:5Efm0TRugj7QE2Artu2BZg,0.598,0.389,0.369,0.0,0.96,-6.886,0.0404,102.625,0.541,25,195967
564,Small Bump - Live at Wembley Stadium,x (Wembley Edition),2013,23,6SXzPvPSZE4n7KU5bm5tWb,spotify:track:6SXzPvPSZE4n7KU5bm5tWb,0.219,0.69,0.696,0.0,0.958,-7.432,0.183,125.735,0.237,19,302992
565,Lay It All on Me (feat. Ed Sheeran),x (Wembley Edition),2013,24,5OI4ZOBm2XUuBiVKk6ugqK,spotify:track:5OI4ZOBm2XUuBiVKk6ugqK,0.141,0.669,0.747,0.0,0.185,-7.108,0.0428,122.531,0.483,22,242440
566,One,x (Wembley Edition),2013,1,0A2J5TumCpT4aJVvQHNEQW,spotify:track:0A2J5TumCpT4aJVvQHNEQW,0.877,0.464,0.321,0.0,0.0789,-11.12,0.0418,93.528,0.306,43,252760
567,I'm a Mess,x (Wembley Edition),2013,2,3KiktyOxQd2Z0bmnabgRq2,spotify:track:3KiktyOxQd2Z0bmnabgRq2,0.556,0.697,0.377,0.0,0.0999,-7.755,0.0397,138.754,0.336,39,244573
568,Sing,x (Wembley Edition),2013,3,6u0oHknFYrnUd42A6rvFly,spotify:track:6u0oHknFYrnUd42A6rvFly,0.304,0.818,0.67,1.22e-06,0.0601,-4.451,0.0472,119.988,0.939,45,235382
569,Don't,x (Wembley Edition),2013,4,6gTJaPuj8DT8RjuDJyBgzP,spotify:track:6gTJaPuj8DT8RjuDJyBgzP,0.0113,0.806,0.608,0.0,0.635,-7.008,0.0659,95.049,0.849,53,219840
570,Nina,x (Wembley Edition),2013,5,3THTZMkVV2onr7xM5yb6WZ,spotify:track:3THTZMkVV2onr7xM5yb6WZ,0.175,0.791,0.669,0.0,0.33,-7.189,0.146,92.013,0.809,32,225533
571,Photograph,x (Wembley Edition),2013,6,6fxVffaTuwjgEk5h9QyRjy,spotify:track:6fxVffaTuwjgEk5h9QyRjy,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,0.201,66,258986
572,Bloodstream,x (Wembley Edition),2013,7,5mxTOMM0NiRud8VdBxbA2o,spotify:track:5mxTOMM0NiRud8VdBxbA2o,0.529,0.66,0.316,0.000294,0.104,-11.567,0.0364,91.207,0.543,37,300253
573,Tenerife Sea,x (Wembley Edition),2013,8,6vSwxzO2Qf4BinHSXRwZJe,spotify:track:6vSwxzO2Qf4BinHSXRwZJe,0.697,0.53,0.346,1.07e-05,0.105,-10.497,0.0376,121.876,0.359,54,241346
574,Runaway,x (Wembley Edition),2013,9,2CW1geAxlM04INRmcoytvW,spotify:track:2CW1geAxlM04INRmcoytvW,0.024,0.767,0.449,0.000299,0.151,-7.158,0.0364,95.03,0.908,34,205133
575,The Man,x (Wembley Edition),2013,10,124Ym5jD2no2GAjZiEbw94,spotify:track:124Ym5jD2no2GAjZiEbw94,0.576,0.759,0.725,0.0,0.0771,-7.006,0.158,87.467,0.619,29,250426
576,Thinking out Loud,x (Wembley Edition),2013,11,1Slwb6dOYkBlWal1PGtnNg,spotify:track:1Slwb6dOYkBlWal1PGtnNg,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,0.591,65,281560
577,Afire Love,x (Wembley Edition),2013,12,6Tb6jpTsEMuBnxYo2HuSiK,spotify:track:6Tb6jpTsEMuBnxYo2HuSiK,0.464,0.552,0.637,1.63e-05,0.136,-6.568,0.0445,97.97,0.333,36,314280
578,Take It Back,x (Wembley Edition),2013,13,3zvc53juLgo3LibcwGBDqn,spotify:track:3zvc53juLgo3LibcwGBDqn,0.318,0.754,0.613,0.0,0.335,-6.342,0.229,113.196,0.904,30,208400
579,Shirtsleeves,x (Wembley Edition),2013,14,3hRWv9DGBOc1ge8nMolCHp,spotify:track:3hRWv9DGBOc1ge8nMolCHp,0.319,0.752,0.76,0.0,0.335,-5.34,0.0341,107.034,0.752,30,190226
580,Even My Dad Does Sometimes,x (Wembley Edition),2013,15,7Clb8su2UxUJ4CQUtDW2UZ,spotify:track:7Clb8su2UxUJ4CQUtDW2UZ,0.756,0.58,0.318,0.000171,0.117,-8.926,0.0279,129.757,0.295,32,228533
581,I See Fire,x (Wembley Edition),2013,16,1d1sMeH6jxPPxSFO7T0nDq,spotify:track:1d1sMeH6jxPPxSFO7T0nDq,0.638,0.641,0.176,5.14e-06,0.252,-11.692,0.0349,76.031,0.297,0,299146
582,All of the Stars,x (Wembley Edition),2013,17,3Th56VIq2sEaEmPPETu7p5,spotify:track:3Th56VIq2sEaEmPPETu7p5,0.00886,0.54,0.557,0.000182,0.307,-6.097,0.0259,75.035,0.287,55,237146
583,English Rose,x (Wembley Edition),2013,18,2tLqh0Y49XoaM8fYz1VFR5,spotify:track:2tLqh0Y49XoaM8fYz1VFR5,0.0977,0.579,0.649,0.0,0.125,-6.522,0.0352,114.593,0.184,35,184173
584,Touch and Go,x (Wembley Edition),2013,19,763p5nkQytkOE7xmsFyu8y,spotify:track:763p5nkQytkOE7xmsFyu8y,0.294,0.812,0.542,6.92e-05,0.141,-5.403,0.0444,110.268,0.733,44,240986
585,New York,x (Wembley Edition),2013,20,0NJDrEZdTbVPMKC0Zbglgn,spotify:track:0NJDrEZdTbVPMKC0Zbglgn,0.707,0.728,0.461,0.0,0.113,-8.726,0.0395,86.014,0.474,35,235960
586,Make It Rain,x (Wembley Edition),2013,21,5puU24G3lHVsUXPAWW2ZpV,spotify:track:5puU24G3lHVsUXPAWW2ZpV,0.791,0.618,0.239,0.0,0.1,-8.371,0.0274,96.846,0.327,49,404480
587,Parting Glass - Live at Wembley Stadium,x (Wembley Edition),2013,22,74sKqdbIzz8Q5k1uFGQIW7,spotify:track:74sKqdbIzz8Q5k1uFGQIW7,0.598,0.389,0.369,0.0,0.96,-6.886,0.0404,102.625,0.541,32,195967
588,Small Bump - Live at Wembley Stadium,x (Wembley Edition),2013,23,4B1EYMTYNUfwRoD9MARPgT,spotify:track:4B1EYMTYNUfwRoD9MARPgT,0.219,0.69,0.696,0.0,0.958,-7.432,0.183,125.735,0.237,26,302992
589,Lay It All on Me (feat. Ed Sheeran),x (Wembley Edition),2013,24,0vbbhcA6okLzvsy6WSTlLg,spotify:track:0vbbhcA6okLzvsy6WSTlLg,0.141,0.669,0.747,0.0,0.185,-7.108,0.0428,122.531,0.483,39,242440
